,job_number,average_waiting_time
3,1,0.16690555555555553
14,2,0.5763133333333335
12,3,0.6193508771929827
7,4,0.5766566666666668
10,5,0.3763
19,6,0.0006166666666666666
0,7,0.12626547619047618
8,8,0.6404592592592592
11,9,2.2225425925925926
17,10,0.00016666666666666666
15,11,0.16043484848484846
5,12,0.4434320512820512
16,13,0.23543020833333334
18,14,1.0003666666666666
13,15,0.12617142857142855
1,16,0.00044285714285714284
9,17,0.5001583333333333
6,18,0.23542604166666667
2,19,0.5242545454545455
4,20,0.0005071428571428572
