,Random,RR,EDF,DOSD,AOSD
3,37.150838356298905,34.0501971577023,31.554385571992746,33.028184676802596,30.139550818643915
4,40.78831517063401,31.234063897049374,31.37517561542487,33.13077122741901,34.25045390082835
5,44.2700318123128,32.46309988161544,34.153143191475834,33.85785205719335,33.00771795088339
6,45.94670264477814,32.827851313363865,32.857470533174485,32.90574296982883,31.72862759184962
7,47.39829550952171,33.9190301740827,34.08066904559767,34.537150341253906,32.68050582123716
8,47.497475034949,32.69881084207682,34.06208361553374,33.23604582822146,32.71916207095331
9,49.34557560069591,31.60597420479804,33.54590431603746,32.65539614550435,33.62092888095859
10,51.131173670627085,32.134017291791174,33.13130791226113,33.80035664707843,33.16637272281153
11,51.30480639319248,33.5762229504303,32.82567964262852,33.20016868247195,31.921416339816
12,50.4290100942699,34.79384617855633,35.52100369532581,33.58600888612219,32.992380027480664
13,51.79081349713351,33.614156223105745,33.976814759487546,32.04559362138928,33.0434048587258
14,52.58163946338067,34.61896608141115,33.78011355055592,32.452850195088075,32.7718202397566
15,54.24555388902102,33.1738653259731,34.79747702585466,33.48903111712876,32.76644697007316
